,ResultsFK,X,TransactionTime,BlockIDResourceID
162,1,0.034722222222222224,42.0,L0 Gate Lounge 1_Gate_Lounge_02
163,1,0.034722222222222224,28.0,L0 Gate Lounge 1_Gate_Lounge_07
164,1,0.034722222222222224,26.0,L0 Gate Lounge 1_Gate_Lounge_08
165,1,0.03819444444444445,26.0,L0 Gate Lounge 1_Gate_Lounge_11
166,1,0.03819444444444445,66.0,L0 Gate Lounge 1_Gate_Lounge_01
167,1,0.03819444444444445,65.0,L0 Gate Lounge 1_Gate_Lounge_04
168,1,0.03819444444444445,17.0,L0 Gate Lounge 1_Gate_Lounge_15
169,1,0.03819444444444445,27.0,L0 Gate Lounge 1_Gate_Lounge_12
170,1,0.03819444444444445,17.0,L0 Gate Lounge 1_Gate_Lounge_13
171,1,0.03819444444444445,24.0,L0 Gate Lounge 1_Gate_Lounge_14
172,1,0.03819444444444445,37.0,L0 Gate Lounge 1_Gate_Lounge_06
173,1,0.03819444444444445,51.0,L0 Gate Lounge 1_Gate_Lounge_03
174,1,0.03819444444444445,31.0,L0 Gate Lounge 1_Gate_Lounge_09
175,1,0.03819444444444445,29.0,L0 Gate Lounge 1_Gate_Lounge_10
176,1,0.03819444444444445,46.0,L0 Gate Lounge 1_Gate_Lounge_05
177,1,0.03819444444444445,65.0,L0 Gate Lounge 1_Gate_Lounge_02
178,1,0.03819444444444445,32.0,L0 Gate Lounge 1_Gate_Lounge_07
179,1,0.03819444444444445,26.0,L0 Gate Lounge 1_Gate_Lounge_08
180,1,0.041666666666666664,33.0,L0 Gate Lounge 1_Gate_Lounge_11
181,1,0.041666666666666664,73.0,L0 Gate Lounge 1_Gate_Lounge_01
182,1,0.041666666666666664,60.0,L0 Gate Lounge 1_Gate_Lounge_04
183,1,0.041666666666666664,21.0,L0 Gate Lounge 1_Gate_Lounge_15
184,1,0.041666666666666664,33.0,L0 Gate Lounge 1_Gate_Lounge_12
185,1,0.041666666666666664,23.0,L0 Gate Lounge 1_Gate_Lounge_13
186,1,0.041666666666666664,24.0,L0 Gate Lounge 1_Gate_Lounge_14
187,1,0.041666666666666664,44.0,L0 Gate Lounge 1_Gate_Lounge_06
188,1,0.041666666666666664,49.0,L0 Gate Lounge 1_Gate_Lounge_03
189,1,0.041666666666666664,20.0,L0 Gate Lounge 1_Gate_Lounge_09
190,1,0.041666666666666664,28.0,L0 Gate Lounge 1_Gate_Lounge_10
191,1,0.041666666666666664,45.0,L0 Gate Lounge 1_Gate_Lounge_05
192,1,0.041666666666666664,69.0,L0 Gate Lounge 1_Gate_Lounge_02
193,1,0.041666666666666664,29.0,L0 Gate Lounge 1_Gate_Lounge_07
194,1,0.041666666666666664,27.0,L0 Gate Lounge 1_Gate_Lounge_08
195,1,0.04513888888888889,27.0,L0 Gate Lounge 1_Gate_Lounge_11
196,1,0.04513888888888889,80.0,L0 Gate Lounge 1_Gate_Lounge_01
197,1,0.04513888888888889,62.0,L0 Gate Lounge 1_Gate_Lounge_04
198,1,0.04513888888888889,38.0,L0 Gate Lounge 1_Gate_Lounge_15
199,1,0.04513888888888889,32.0,L0 Gate Lounge 1_Gate_Lounge_12
200,1,0.04513888888888889,26.0,L0 Gate Lounge 1_Gate_Lounge_13
201,1,0.04513888888888889,20.0,L0 Gate Lounge 1_Gate_Lounge_14
202,1,0.04513888888888889,48.0,L0 Gate Lounge 1_Gate_Lounge_06
203,1,0.04513888888888889,49.0,L0 Gate Lounge 1_Gate_Lounge_03
204,1,0.04513888888888889,34.0,L0 Gate Lounge 1_Gate_Lounge_09
205,1,0.04513888888888889,29.0,L0 Gate Lounge 1_Gate_Lounge_10
206,1,0.04513888888888889,46.0,L0 Gate Lounge 1_Gate_Lounge_05
207,1,0.04513888888888889,55.0,L0 Gate Lounge 1_Gate_Lounge_02
208,1,0.04513888888888889,31.0,L0 Gate Lounge 1_Gate_Lounge_07
209,1,0.04513888888888889,29.0,L0 Gate Lounge 1_Gate_Lounge_08
210,1,0.04861111111111111,27.0,L0 Gate Lounge 1_Gate_Lounge_11
