,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
166,1,44013.055555555555,,,L0 Security Control 1_Common Usage_3
167,1,44013.055555555555,,,L0 Security Control 1_Common Usage_6
168,1,44013.055555555555,,,L0 Security Control 1_Common Usage_2
169,1,44013.055555555555,,,L0 Security Control 1_Common Usage_4
170,1,44013.055555555555,,,L0 Security Control 1_Common Usage_1
171,1,44013.05902777778,7.0,2268.0,L0 Security Control 1_Common Usage_9
172,1,44013.05902777778,4.0,,L0 Security Control 1_Common Usage_7
173,1,44013.05902777778,,,L0 Security Control 1_Common Usage_5
174,1,44013.05902777778,7.0,144.0,L0 Security Control 1_Common Usage_8
175,1,44013.05902777778,,,L0 Security Control 1_Common Usage_3
176,1,44013.05902777778,,,L0 Security Control 1_Common Usage_6
177,1,44013.05902777778,,,L0 Security Control 1_Common Usage_2
178,1,44013.05902777778,,,L0 Security Control 1_Common Usage_4
179,1,44013.05902777778,,,L0 Security Control 1_Common Usage_1
180,1,44013.0625,7.0,2268.0,L0 Security Control 1_Common Usage_9
181,1,44013.0625,,,L0 Security Control 1_Common Usage_7
182,1,44013.0625,,,L0 Security Control 1_Common Usage_5
183,1,44013.0625,7.0,144.0,L0 Security Control 1_Common Usage_8
184,1,44013.0625,,,L0 Security Control 1_Common Usage_3
185,1,44013.0625,,,L0 Security Control 1_Common Usage_6
186,1,44013.0625,,,L0 Security Control 1_Common Usage_2
187,1,44013.0625,,,L0 Security Control 1_Common Usage_4
188,1,44013.0625,,,L0 Security Control 1_Common Usage_1
189,1,44013.06597222222,6.0,2268.0,L0 Security Control 1_Common Usage_9
190,1,44013.06597222222,,,L0 Security Control 1_Common Usage_7
191,1,44013.06597222222,,,L0 Security Control 1_Common Usage_5
192,1,44013.06597222222,6.0,144.0,L0 Security Control 1_Common Usage_8
193,1,44013.06597222222,,,L0 Security Control 1_Common Usage_3
194,1,44013.06597222222,,,L0 Security Control 1_Common Usage_6
195,1,44013.06597222222,,,L0 Security Control 1_Common Usage_2
196,1,44013.06597222222,,,L0 Security Control 1_Common Usage_4
197,1,44013.06597222222,,,L0 Security Control 1_Common Usage_1
198,1,44013.069444444445,7.0,2268.0,L0 Security Control 1_Common Usage_9
199,1,44013.069444444445,,,L0 Security Control 1_Common Usage_7
200,1,44013.069444444445,,,L0 Security Control 1_Common Usage_5
201,1,44013.069444444445,7.0,144.0,L0 Security Control 1_Common Usage_8
202,1,44013.069444444445,,,L0 Security Control 1_Common Usage_3
203,1,44013.069444444445,,,L0 Security Control 1_Common Usage_6
204,1,44013.069444444445,,,L0 Security Control 1_Common Usage_2
205,1,44013.069444444445,,,L0 Security Control 1_Common Usage_4
206,1,44013.069444444445,,,L0 Security Control 1_Common Usage_1
207,1,44013.072916666664,6.0,2268.0,L0 Security Control 1_Common Usage_9
208,1,44013.072916666664,,,L0 Security Control 1_Common Usage_7
209,1,44013.072916666664,,,L0 Security Control 1_Common Usage_5
210,1,44013.072916666664,6.0,144.0,L0 Security Control 1_Common Usage_8
211,1,44013.072916666664,,,L0 Security Control 1_Common Usage_3
212,1,44013.072916666664,,,L0 Security Control 1_Common Usage_6
213,1,44013.072916666664,,,L0 Security Control 1_Common Usage_2
214,1,44013.072916666664,,,L0 Security Control 1_Common Usage_4
215,1,44013.072916666664,,,L0 Security Control 1_Common Usage_1
216,1,44013.07638888889,10.0,2268.0,L0 Security Control 1_Common Usage_9
217,1,44013.07638888889,,,L0 Security Control 1_Common Usage_7
218,1,44013.07638888889,,,L0 Security Control 1_Common Usage_5
219,1,44013.07638888889,4.0,,L0 Security Control 1_Common Usage_8
220,1,44013.07638888889,,,L0 Security Control 1_Common Usage_3
221,1,44013.07638888889,,,L0 Security Control 1_Common Usage_6
222,1,44013.07638888889,,,L0 Security Control 1_Common Usage_2
223,1,44013.07638888889,,,L0 Security Control 1_Common Usage_4
224,1,44013.07638888889,,,L0 Security Control 1_Common Usage_1
225,1,44013.07986111111,12.0,2268.0,L0 Security Control 1_Common Usage_9
226,1,44013.07986111111,,,L0 Security Control 1_Common Usage_7
227,1,44013.07986111111,,,L0 Security Control 1_Common Usage_5
228,1,44013.07986111111,,,L0 Security Control 1_Common Usage_8
229,1,44013.07986111111,,,L0 Security Control 1_Common Usage_3
230,1,44013.07986111111,,,L0 Security Control 1_Common Usage_6
231,1,44013.07986111111,,,L0 Security Control 1_Common Usage_2
232,1,44013.07986111111,,,L0 Security Control 1_Common Usage_4
233,1,44013.07986111111,,,L0 Security Control 1_Common Usage_1
234,1,44013.083333333336,12.0,2268.0,L0 Security Control 1_Common Usage_9
235,1,44013.083333333336,,,L0 Security Control 1_Common Usage_7
236,1,44013.083333333336,,,L0 Security Control 1_Common Usage_5
237,1,44013.083333333336,,,L0 Security Control 1_Common Usage_8
238,1,44013.083333333336,,,L0 Security Control 1_Common Usage_3
239,1,44013.083333333336,,,L0 Security Control 1_Common Usage_6
240,1,44013.083333333336,,,L0 Security Control 1_Common Usage_2
241,1,44013.083333333336,,,L0 Security Control 1_Common Usage_4
242,1,44013.083333333336,,,L0 Security Control 1_Common Usage_1
243,1,44013.086805555555,8.0,2268.0,L0 Security Control 1_Common Usage_9
244,1,44013.086805555555,,,L0 Security Control 1_Common Usage_7
245,1,44013.086805555555,,,L0 Security Control 1_Common Usage_5
246,1,44013.086805555555,,,L0 Security Control 1_Common Usage_8
247,1,44013.086805555555,,,L0 Security Control 1_Common Usage_3
248,1,44013.086805555555,,,L0 Security Control 1_Common Usage_6
249,1,44013.086805555555,,,L0 Security Control 1_Common Usage_2
250,1,44013.086805555555,,,L0 Security Control 1_Common Usage_4
251,1,44013.086805555555,,,L0 Security Control 1_Common Usage_1
252,1,44013.09027777778,4.0,2268.0,L0 Security Control 1_Common Usage_9
253,1,44013.09027777778,,,L0 Security Control 1_Common Usage_7
254,1,44013.09027777778,,,L0 Security Control 1_Common Usage_5
255,1,44013.09027777778,,,L0 Security Control 1_Common Usage_8
256,1,44013.09027777778,,,L0 Security Control 1_Common Usage_3
257,1,44013.09027777778,,,L0 Security Control 1_Common Usage_6
258,1,44013.09027777778,,,L0 Security Control 1_Common Usage_2
259,1,44013.09027777778,,,L0 Security Control 1_Common Usage_4
260,1,44013.09027777778,,,L0 Security Control 1_Common Usage_1
261,1,44013.09375,2.0,2268.0,L0 Security Control 1_Common Usage_9
262,1,44013.09375,,,L0 Security Control 1_Common Usage_7
