,ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
249,1,44013.211805555555,10,Closed,Normal
250,1,44013.211805555555,0,In Use,Automatic
251,1,44013.211805555555,2,Closed,Automatic
252,1,44013.21527777778,0,In Use,Normal
253,1,44013.21527777778,0,Idle,Normal
254,1,44013.21527777778,0,Idle,Automatic
255,1,44013.21527777778,10,Closed,Normal
256,1,44013.21527777778,0,In Use,Automatic
257,1,44013.21527777778,2,Closed,Automatic
258,1,44013.21875,0,In Use,Normal
259,1,44013.21875,0,Idle,Normal
260,1,44013.21875,0,Idle,Automatic
261,1,44013.21875,10,Closed,Normal
262,1,44013.21875,0,In Use,Automatic
263,1,44013.21875,2,Closed,Automatic
264,1,44013.22222222222,0,In Use,Normal
265,1,44013.22222222222,0,Idle,Normal
266,1,44013.22222222222,0,Idle,Automatic
267,1,44013.22222222222,10,Closed,Normal
268,1,44013.22222222222,0,In Use,Automatic
269,1,44013.22222222222,2,Closed,Automatic
270,1,44013.225694444445,0,In Use,Normal
271,1,44013.225694444445,0,Idle,Normal
272,1,44013.225694444445,0,Idle,Automatic
273,1,44013.225694444445,10,Closed,Normal
274,1,44013.225694444445,0,In Use,Automatic
275,1,44013.225694444445,2,Closed,Automatic
276,1,44013.229166666664,0,In Use,Normal
277,1,44013.229166666664,0,Idle,Normal
278,1,44013.229166666664,0,Idle,Automatic
279,1,44013.229166666664,10,Closed,Normal
280,1,44013.229166666664,0,In Use,Automatic
281,1,44013.229166666664,2,Closed,Automatic
282,1,44013.23263888889,0,In Use,Normal
283,1,44013.23263888889,0,Idle,Normal
284,1,44013.23263888889,0,Idle,Automatic
285,1,44013.23263888889,10,Closed,Normal
286,1,44013.23263888889,0,In Use,Automatic
287,1,44013.23263888889,2,Closed,Automatic
288,1,44013.23611111111,0,In Use,Normal
289,1,44013.23611111111,0,Idle,Normal
290,1,44013.23611111111,0,Idle,Automatic
291,1,44013.23611111111,10,Closed,Normal
292,1,44013.23611111111,0,In Use,Automatic
293,1,44013.23611111111,2,Closed,Automatic
294,1,44013.239583333336,0,In Use,Normal
295,1,44013.239583333336,0,Idle,Normal
296,1,44013.239583333336,0,Idle,Automatic
297,1,44013.239583333336,10,Closed,Normal
298,1,44013.239583333336,0,In Use,Automatic
299,1,44013.239583333336,2,Closed,Automatic
300,1,44013.243055555555,0,In Use,Normal
301,1,44013.243055555555,0,Idle,Normal
302,1,44013.243055555555,0,Idle,Automatic
303,1,44013.243055555555,10,Closed,Normal
304,1,44013.243055555555,0,In Use,Automatic
305,1,44013.243055555555,2,Closed,Automatic
306,1,44013.24652777778,0,In Use,Normal
307,1,44013.24652777778,0,Idle,Normal
308,1,44013.24652777778,0,Idle,Automatic
309,1,44013.24652777778,10,Closed,Normal
310,1,44013.24652777778,0,In Use,Automatic
311,1,44013.24652777778,2,Closed,Automatic
312,1,44013.25,0,In Use,Normal
313,1,44013.25,0,Idle,Normal
314,1,44013.25,0,Idle,Automatic
315,1,44013.25,10,Closed,Normal
316,1,44013.25,0,In Use,Automatic
317,1,44013.25,2,Closed,Automatic
318,1,44013.25347222222,0,In Use,Normal
319,1,44013.25347222222,0,Idle,Normal
320,1,44013.25347222222,0,Idle,Automatic
321,1,44013.25347222222,10,Closed,Normal
322,1,44013.25347222222,0,In Use,Automatic
323,1,44013.25347222222,2,Closed,Automatic
324,1,44013.256944444445,0,In Use,Normal
325,1,44013.256944444445,0,Idle,Normal
326,1,44013.256944444445,0,Idle,Automatic
327,1,44013.256944444445,10,Closed,Normal
328,1,44013.256944444445,0,In Use,Automatic
329,1,44013.256944444445,2,Closed,Automatic
330,1,44013.260416666664,0,In Use,Normal
331,1,44013.260416666664,0,Idle,Normal
332,1,44013.260416666664,0,Idle,Automatic
333,1,44013.260416666664,10,Closed,Normal
334,1,44013.260416666664,0,In Use,Automatic
335,1,44013.260416666664,2,Closed,Automatic
336,1,44013.26388888889,0,In Use,Normal
337,1,44013.26388888889,0,Idle,Normal
338,1,44013.26388888889,0,Idle,Automatic
339,1,44013.26388888889,10,Closed,Normal
340,1,44013.26388888889,0,In Use,Automatic
341,1,44013.26388888889,2,Closed,Automatic
342,1,44013.26736111111,0,In Use,Normal
343,1,44013.26736111111,0,Idle,Normal
344,1,44013.26736111111,0,Idle,Automatic
345,1,44013.26736111111,10,Closed,Normal
346,1,44013.26736111111,0,In Use,Automatic
347,1,44013.26736111111,2,Closed,Automatic
348,1,44013.270833333336,0,In Use,Normal
349,1,44013.270833333336,0,Idle,Normal
350,1,44013.270833333336,0,Idle,Automatic
351,1,44013.270833333336,10,Closed,Normal
352,1,44013.270833333336,0,In Use,Automatic
353,1,44013.270833333336,2,Closed,Automatic
354,1,44013.274305555555,0,In Use,Normal
355,1,44013.274305555555,0,Idle,Normal
356,1,44013.274305555555,0,Idle,Automatic
357,1,44013.274305555555,10,Closed,Normal
358,1,44013.274305555555,0,In Use,Automatic
359,1,44013.274305555555,2,Closed,Automatic
360,1,44013.27777777778,0,In Use,Normal
361,1,44013.27777777778,0,Idle,Normal
362,1,44013.27777777778,0,Idle,Automatic
363,1,44013.27777777778,10,Closed,Normal
364,1,44013.27777777778,0,In Use,Automatic
365,1,44013.27777777778,2,Closed,Automatic
366,1,44013.28125,0,In Use,Normal
367,1,44013.28125,0,Idle,Normal
368,1,44013.28125,0,Idle,Automatic
369,1,44013.28125,10,Closed,Normal
370,1,44013.28125,0,In Use,Automatic
371,1,44013.28125,2,Closed,Automatic
372,1,44013.28472222222,0,In Use,Normal
373,1,44013.28472222222,0,Idle,Normal
374,1,44013.28472222222,0,Idle,Automatic
375,1,44013.28472222222,10,Closed,Normal
376,1,44013.28472222222,0,In Use,Automatic
377,1,44013.28472222222,2,Closed,Automatic
378,1,44013.288194444445,0,In Use,Normal
379,1,44013.288194444445,0,Idle,Normal
380,1,44013.288194444445,0,Idle,Automatic
381,1,44013.288194444445,10,Closed,Normal
382,1,44013.288194444445,0,In Use,Automatic
383,1,44013.288194444445,2,Closed,Automatic
384,1,44013.291666666664,0,In Use,Normal
385,1,44013.291666666664,0,Idle,Normal
386,1,44013.291666666664,0,Idle,Automatic
387,1,44013.291666666664,10,Closed,Normal
388,1,44013.291666666664,0,In Use,Automatic
389,1,44013.291666666664,2,Closed,Automatic
390,1,44013.29513888889,0,In Use,Normal
391,1,44013.29513888889,0,Idle,Normal
392,1,44013.29513888889,0,Idle,Automatic
393,1,44013.29513888889,10,Closed,Normal
394,1,44013.29513888889,0,In Use,Automatic
395,1,44013.29513888889,2,Closed,Automatic
396,1,44013.29861111111,0,In Use,Normal
397,1,44013.29861111111,0,Idle,Normal
398,1,44013.29861111111,0,Idle,Automatic
399,1,44013.29861111111,10,Closed,Normal
400,1,44013.29861111111,0,In Use,Automatic
401,1,44013.29861111111,2,Closed,Automatic
402,1,44013.302083333336,0,In Use,Normal
403,1,44013.302083333336,0,Idle,Normal
404,1,44013.302083333336,0,Idle,Automatic
405,1,44013.302083333336,10,Closed,Normal
406,1,44013.302083333336,0,In Use,Automatic
407,1,44013.302083333336,2,Closed,Automatic
408,1,44013.305555555555,0,In Use,Normal
409,1,44013.305555555555,0,Idle,Normal
410,1,44013.305555555555,0,Idle,Automatic
411,1,44013.305555555555,10,Closed,Normal
412,1,44013.305555555555,0,In Use,Automatic
413,1,44013.305555555555,2,Closed,Automatic
414,1,44013.30902777778,0,In Use,Normal
415,1,44013.30902777778,0,Idle,Normal
416,1,44013.30902777778,0,Idle,Automatic
417,1,44013.30902777778,10,Closed,Normal
418,1,44013.30902777778,0,In Use,Automatic
419,1,44013.30902777778,2,Closed,Automatic
420,1,44013.3125,0,In Use,Normal
421,1,44013.3125,0,Idle,Normal
422,1,44013.3125,0,Idle,Automatic
423,1,44013.3125,10,Closed,Normal
424,1,44013.3125,0,In Use,Automatic
425,1,44013.3125,2,Closed,Automatic
426,1,44013.31597222222,0,In Use,Normal
427,1,44013.31597222222,0,Idle,Normal
428,1,44013.31597222222,0,Idle,Automatic
429,1,44013.31597222222,10,Closed,Normal
430,1,44013.31597222222,0,In Use,Automatic
431,1,44013.31597222222,2,Closed,Automatic
432,1,44013.319444444445,0,In Use,Normal
433,1,44013.319444444445,0,Idle,Normal
434,1,44013.319444444445,0,Idle,Automatic
435,1,44013.319444444445,10,Closed,Normal
436,1,44013.319444444445,0,In Use,Automatic
437,1,44013.319444444445,2,Closed,Automatic
438,1,44013.322916666664,0,In Use,Normal
439,1,44013.322916666664,0,Idle,Normal
440,1,44013.322916666664,0,Idle,Automatic
441,1,44013.322916666664,10,Closed,Normal
442,1,44013.322916666664,0,In Use,Automatic
