ResultsFK,X,TransactionTime,BlockIDResourceID
1,0.0625,35.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.0625,66.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.0625,34.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.0625,24.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.06597222222222222,27.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.06597222222222222,68.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.06597222222222222,53.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.06597222222222222,28.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.06597222222222222,31.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.06597222222222222,21.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.06597222222222222,8.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.06597222222222222,26.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.06597222222222222,34.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.06597222222222222,21.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.06597222222222222,23.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.06597222222222222,40.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.06597222222222222,44.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.06597222222222222,26.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.06597222222222222,29.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.06944444444444445,21.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.06944444444444445,77.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.06944444444444445,40.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.06944444444444445,26.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.06944444444444445,18.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.06944444444444445,15.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.06944444444444445,6.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.06944444444444445,23.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.06944444444444445,35.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.06944444444444445,23.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.06944444444444445,17.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.06944444444444445,33.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.06944444444444445,48.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.06944444444444445,33.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.06944444444444445,24.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.07291666666666667,15.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.07291666666666667,56.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.07291666666666667,35.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.07291666666666667,14.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.07291666666666667,11.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.07291666666666667,11.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.07291666666666667,1.0,L0 Gate Lounge 1_Gate_Lounge_14
