,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
199,1,44013.12847222222,,,L0 Immigration Control 1_Normal_03,Normal
200,1,44013.12847222222,,,L0 Immigration Control 1_Normal_01,Normal
201,1,44013.12847222222,,,L0 Immigration Control 1_Normal_02,Normal
202,1,44013.12847222222,,,L0 Immigration Control 1_Normal_07,Normal
203,1,44013.12847222222,,,L0 Immigration Control 1_Normal_09,Normal
204,1,44013.131944444445,,,L0 Immigration Control 1_Automatic_2,Automatic
205,1,44013.131944444445,,,L0 Immigration Control 1_Normal_06,Normal
206,1,44013.131944444445,,,L0 Immigration Control 1_Normal_10,Normal
207,1,44013.131944444445,,,L0 Immigration Control 1_Normal_05,Normal
208,1,44013.131944444445,,,L0 Immigration Control 1_Normal_08,Normal
209,1,44013.131944444445,,,L0 Immigration Control 1_Normal_04,Normal
210,1,44013.131944444445,,,L0 Immigration Control 1_Automatic_1,Automatic
211,1,44013.131944444445,,,L0 Immigration Control 1_Normal_03,Normal
212,1,44013.131944444445,,,L0 Immigration Control 1_Normal_01,Normal
213,1,44013.131944444445,,,L0 Immigration Control 1_Normal_02,Normal
214,1,44013.131944444445,,,L0 Immigration Control 1_Normal_07,Normal
215,1,44013.131944444445,,,L0 Immigration Control 1_Normal_09,Normal
216,1,44013.135416666664,,,L0 Immigration Control 1_Automatic_2,Automatic
217,1,44013.135416666664,,,L0 Immigration Control 1_Normal_06,Normal
218,1,44013.135416666664,,,L0 Immigration Control 1_Normal_10,Normal
219,1,44013.135416666664,,,L0 Immigration Control 1_Normal_05,Normal
220,1,44013.135416666664,,,L0 Immigration Control 1_Normal_08,Normal
221,1,44013.135416666664,,,L0 Immigration Control 1_Normal_04,Normal
222,1,44013.135416666664,,,L0 Immigration Control 1_Automatic_1,Automatic
223,1,44013.135416666664,,,L0 Immigration Control 1_Normal_03,Normal
224,1,44013.135416666664,,,L0 Immigration Control 1_Normal_01,Normal
225,1,44013.135416666664,,,L0 Immigration Control 1_Normal_02,Normal
226,1,44013.135416666664,,,L0 Immigration Control 1_Normal_07,Normal
227,1,44013.135416666664,,,L0 Immigration Control 1_Normal_09,Normal
228,1,44013.13888888889,,,L0 Immigration Control 1_Automatic_2,Automatic
229,1,44013.13888888889,,,L0 Immigration Control 1_Normal_06,Normal
230,1,44013.13888888889,,,L0 Immigration Control 1_Normal_10,Normal
231,1,44013.13888888889,,,L0 Immigration Control 1_Normal_05,Normal
232,1,44013.13888888889,,,L0 Immigration Control 1_Normal_08,Normal
233,1,44013.13888888889,,,L0 Immigration Control 1_Normal_04,Normal
