ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
1,44013.15625,15.0,344.0,L0 Security Control 1_Common Usage_7
1,44013.15625,,,L0 Security Control 1_Common Usage_5
1,44013.15625,16.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.15625,,,L0 Security Control 1_Common Usage_3
1,44013.15625,,,L0 Security Control 1_Common Usage_6
1,44013.15625,,,L0 Security Control 1_Common Usage_2
1,44013.15625,,,L0 Security Control 1_Common Usage_4
1,44013.15625,,,L0 Security Control 1_Common Usage_1
1,44013.15972222222,16.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.15972222222,15.0,344.0,L0 Security Control 1_Common Usage_7
1,44013.15972222222,,,L0 Security Control 1_Common Usage_5
1,44013.15972222222,16.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.15972222222,,,L0 Security Control 1_Common Usage_3
1,44013.15972222222,,,L0 Security Control 1_Common Usage_6
1,44013.15972222222,,,L0 Security Control 1_Common Usage_2
1,44013.15972222222,,,L0 Security Control 1_Common Usage_4
1,44013.15972222222,,,L0 Security Control 1_Common Usage_1
1,44013.163194444445,17.0,2268.0,L0 Security Control 1_Common Usage_9
